OBJECTID,SubSymbol,Period,Years_before,Period_c,Main_Rock_Type,Photo_Ref_no,Main_Rock_Type_c,Years_before_c,Photo1,Photo2,Photo3,Photo1_link,Photo2_link,Photo3_link
75,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
76,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
77,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
78,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
79,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
80,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
81,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
82,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
83,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
84,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
85,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
86,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
87,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
88,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
89,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
90,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
91,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
92,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
93,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
94,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
95,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
97,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
98,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
99,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
100,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
101,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
102,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
103,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
105,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
108,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
109,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
110,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
111,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
113,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
114,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
115,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
116,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
117,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
118,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
119,JG,Jurassic,145-199,侏羅系,Granitic Rocks,11&12,花崗岩類的岩石,145-199,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Fine-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Megacrystic Medium-grained Granite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Fine-grained Granite.png,
