District,Building name,Last date of residence of the (s),Related probable/confirmed s,Number of cases
North,Shek Wu Hui Municipal Services Building (non-residential),15/8/2020,"1947, 1989, 2053, 2072, 2179, 2284, 2393, 2576, 2912, 2913, 3207, 3536, 3948, 4003, 4027, 4105, 4143, 4423",18
Yau Tsim Mong,Sheung On House Koon Thai Hai Nam Chicken (non-residential),15/8/2020,4607,1
Eastern,Siu Sai Wan Plaza Green River Restaurant (non-residential),15/8/2020,4475,1
Kowloon City,Tai Fung House (non-residential),15/8/2020,4471,1
Tuen Mun,Tai Hing Garden Phase 1 Shopping Centre (non-residential),15/8/2020,4448,1
Tuen Mun,Tai Hing Garden Phase 2 Shopping Centre (non-residential),15/8/2020,4448,1
Yuen Long,Tai Kiu Market (non-residential),15/8/2020,"1471, 1561, 2286, 2995, 3460, 3480, 3966, 4034, 4337, 4521",10
Kwun Tong,Telford Plaza II Xiao Wang Beef Noodle (non-residential),15/8/2020,4447,1
Yuen Long,Tin Chak Shopping Centre (non-residential),15/8/2020,"4456, 4496",2
Yuen Long,Tin Chak Shopping Centre Café 100% (non-residential),15/8/2020,4456,1
Yuen Long,Tung Yick Building (non-residential),15/8/2020,4537,1
Yuen Long,Tung Yick Market (non-residential),15/8/2020,"2172, 3318, 3480, 4521, 4537",5
Tuen Mun,Yan Tin Market (non-residential),15/8/2020,"3803, 4577",2
Tsuen Wan,Yeung Uk Road Municipal Services Building (non-residential),15/8/2020,"1652, 1859, 2196, 2261, 2239, 3047, 3117, 3244, 3254, 3976, 4022, 4023, 4024, 4177, 4217, 4413, 4457, 4540",18
Kwai Tsing,Yin Lai Court Shopping Centre (non-residential),15/8/2020,4444,1
Yuen Long,Yuccie Square (non-residential),15/8/2020,4447,1
Tuen Mun,Chelsea Heights (non-residential),16/8/2020,"2177, 2598, 4448",3
Wan Chai,Chun Fai Building Nam Kee Spring Roll Noodle Co. Ltd (non-residential),16/8/2020,4558,1
Yau Tsim Mong,Eaton Hotel (non-residential),16/8/2020,4607,1
Yau Tsim Mong,ELEMENTS Shake Shack (non-residential),16/8/2020,4818,1
Kwun Tong,Exchange Tower (non-residential),16/8/2020,4522,1
Eastern,Fitfort Dondonya (non-residential),16/8/2020,4547,1
Tai Po,Fu Heng Shopping Centre (non-residential),16/8/2020,"4573, 4644",2
Sham Shui Po,Heya Star Café de Itamomo (non-residential),16/8/2020,4498,1
Yau Tsim Mong,Langham Place (non-residential),16/8/2020,"1297, 1641, 2008, 2186, 3296, 3369, 3386, 3826, 4447, 4573",10
Central & Western,LHT Tower (non-residential),16/8/2020,4338,1
Sha Tin,Li Fung Centre (non-residential),16/8/2020,4511,1
Central & Western,Mandarin Oriental Hotel (non-residential),16/8/2020,4338,1
Central & Western,Melbourne Plaza (non-residential),16/8/2020,"2485, 2529, 4338",3
Kwai Tsing,Metroplaza (non-residential),16/8/2020,"3521, 4164, 4175, 4338",4
Kwai Tsing,Metroplaza Nha Trang Vietnamese Cuisine (non-residential),16/8/2020,4338,1
Sha Tin,MTR Sha Tin Wai Station (non-residential),16/8/2020,4645,1
Yau Tsim Mong,Royal Garden Hotel (non-residential),16/8/2020,4616,1
Tuen Mun,Tai Hing Garden Phase 1 Shopping Centre (non-residential),16/8/2020,4448,1
Sha Tin,Tai Wai Market (non-residential),16/8/2020,"2583, 2693, 2816, 3033, 4505",5
Kowloon City,Tak Shing Mansion (non-residential),16/8/2020,4583,1
Yau Tsim Mong,The Royal Garden (non-residential),16/8/2020,"4614, 4616",2
North,Tsz Jing House Po Shek Wu Estate (non-residential),16/8/2020,4494,1
Sham Shui Po,Un Chau Shopping Centre (non-residential),16/8/2020,4498,1
Yau Tsim Mong,Yau Shing Commercial Centre Café do Coral (non-residential),16/8/2020,4573,1
Tuen Mun,Yuet Tin House Yan Tin Estate 安泰燒臘餐廳 (non-residential),16/8/2020,4517,1
Yau Tsim Mong,238 Nathan Road (non-residential),17/8/2020,4661,1
Yau Tsim Mong,363 Nathan Road Hang Shing Building (non-residential),17/8/2020,4661,1
Tsuen Wan,"57-61, Lo Tak Court (non-residential)",17/8/2020,4646,1
Eastern,969-971 King's Road & 1-5 Tong Chong Street Café de Coral (non-residential),17/8/2020,4684,1
Eastern,Aldrich Bay Integrated Services Building (non-residential),17/8/2020,4683,1
Eastern,Aldrich Garden Shopping Centre (non-residential),17/8/2020,"4437, 4672",2
Tuen Mun,Butterfly Estate Yoshinoya (non-residential),17/8/2020,4663,1
Wan Chai,CNT Tower Tao Heung (non-residential),17/8/2020,4557,1
Eastern,Fitfort (non-residential),17/8/2020,4547,1
Yau Tsim Mong,Fortune Crest Nam Kee Spring Roll Noodle Co. Ltd (non-residential),17/8/2020,4603,1
Yau Tsim Mong,Lee Hing Building (non-residential),17/8/2020,4582,1
Yuen Long,Long Ping Commercial Centre (non-residential),17/8/2020,"3967, 4337, 4555",3
Tsuen Wan,Lung Shing Factory Building (non-residential),17/8/2020,4527,1
Kowloon City,Pebbles World Wonderful Worlds of Whampoa Green River Restaurant (non-residential),17/8/2020,4595,1
Wong Tai Sin,Plaza Hollywood (non-residential),17/8/2020,"1665, 1845, 2024, 2139, 3235, 3379, 3745, 4553",8
Yau Tsim Mong,Royal Plaza Hotel (non-residential),17/8/2020,"2099, 3711, 3712, 4596",4
Kwun Tong,Sau Mau Ping Shopping Centre Café de Coral (non-residential),17/8/2020,"2440, 2449, 4608",3
Kwun Tong,Sau Mau Ping Shopping Centre Tong Kee Bao Dim (non-residential),17/8/2020,4608,1
Kwai Tsing,Shek Lei Shopping Centre Phase 2 (non-residential),17/8/2020,4630,1
Yau Tsim Mong,Sun Ming Building (non-residential),17/8/2020,"4607, 4661",2
Tai Po,Tai Po Complex (non-residential),17/8/2020,"1942, 1999, 2120, 2339, 2991, 3490, 4106, 4644",8
Yau Tsim Mong,The Forest (non-residential),17/8/2020,4604,1
Sham Shui Po,Un Chau Shopping Centre (non-residential),17/8/2020,"4498, 4586",2
Eastern,Victor Court Fisholic (non-residential),17/8/2020,4685,1
Sham Shui Po,Wing Kut Industrial Building Hoi Fa Kit Guo (non-residential),17/8/2020,4536,1
Tuen Mun,"Yan Tin Market, Yan Tin Estate Tong Kee Bao Dim (non-residential)",17/8/2020,4548,1
Eastern,Yue Wan Market (non-residential),17/8/2020,4526,1
Tuen Mun,"Yuet Tin House, Yan Tin Estate 安泰燒臘餐廳 (non-residential)",17/8/2020,"4517, 4548",2
Yau Tsim Mong,128 Fa Yuen Street (non-residential),18/8/2020,4635,1
Yau Tsim Mong,6F & 6G Nelson Street (non-residential),18/8/2020,4596,1
Tsuen Wan,Administration Building Shing Mun Tunnels (non-residential),18/8/2020,4553,1
Sai Kung,Beverly Garden Shopping Centre (non-residential),18/8/2020,"2066, 2537, 4571",3
Sham Shui Po,Cheung Sha Wan Government Offices (non-residential),18/8/2020,"1501, 1890, 2128, 4433, 4703",5
Eastern,Cityplaza Oliver's Super Sandwiches (non-residential),18/8/2020,4684,1
Tsuen Wan,Discovery Park Chef's Stage Kitchen (non-residential),18/8/2020,4546,1
Sham Shui Po,Dragon Centre (non-residential),18/8/2020,4600,1
Yau Tsim Mong,ELEMENTS (non-residential),18/8/2020,"1715, 3057, 4011, 4077, 4569",5
Tai Po,Fu Heng Shopping Centre Café de Coral (non-residential),18/8/2020,4644,1
Eastern,Hing Wah Plaza (non-residential),18/8/2020,4526,1
Yau Tsim Mong,Kam Wah Building (non-residential),18/8/2020,4569,1
Kwun Tong,Lam Tin Complex (non-residential),18/8/2020,4595,1
Yau Tsim Mong,Lee Hing Building (non-residential),18/8/2020,"4582, 4600",2
Yau Tsim Mong,Mira Place Tower A (non-residential),18/8/2020,4616,1
Tuen Mun,New Town Commercial Arcade (non-residential),18/8/2020,"4448, 4546",2
Yau Tsim Mong,Oasis Avenue - A GDH Hotel (non-residential),18/8/2020,4596,1
Islands,Regal Airport Hotel (non-residential),18/8/2020,4615,1
Eastern,Sai Wan Ho Municipal Services Building (non-residential),18/8/2020,"2200, 2788, 3049, 3061, 4647",5
Sham Shui Po,Shek Kip Mei Commercial Centre (non-residential),18/8/2020,"1813, 1881, 1927, 2067, 2418, 2688, 3038, 3621, 3862, 4309, 4605",11
Tsuen Wan,Shing Mun Tunnel Administration Building (non-residential),18/8/2020,"4426, 4553",2
Yau Tsim Mong,Sino Centre (non-residential),18/8/2020,"2398, 3371, 4207, 4569",4
Yau Tsim Mong,T.O.P This is our place (non-residential),18/8/2020,4607,1
Yau Tsim Mong,Tak Po Building (non-residential),18/8/2020,4569,1
Kowloon City,Tak Shing Mansion (non-residential),18/8/2020,"4583, 4655",2
Tuen Mun,Tuen Maun Central Square (non-residential),18/8/2020,4629,1
Wan Chai,Wanchai Market (non-residential),18/8/2020,4574,1
Central & Western,Wayson Commercial Building (non-residential),18/8/2020,4546,1
Kwun Tong,Wing Cheung Industrial Building (non-residential),18/8/2020,4571,1
Wong Tai Sin,41 Po Kong Village Road (non-residential),19/8/2020,4641,1
Eastern,7 Hoi An Street 龍軒 (non-residential),19/8/2020,4743,1
Kwun Tong,AIA Kowloon Tower (non-residential),19/8/2020,4600,1
Islands,Discovery College (non-residential),19/8/2020,4817,1
Central & Western,Flourish Court (non-residential),19/8/2020,4607,1
Central & Western,Goldwin Heights (non-residential),19/8/2020,4607,1
Eastern,Hoi Kwong Court (non-residential),19/8/2020,4684,1
Kwai Tsing,Kwai Chung Plaza (non-residential),19/8/2020,"1820, 1996, 2332, 2455, 2459, 2465, 2602, 3018, 3026, 3040, 3058, 4495, 4640",13
Tuen Mun,Leung King Plaza (non-residential),19/8/2020,"2319, 2707, 3582, 4286, 4309, 4339, 4374, 4412, 4430, 4431, 4467, 4587, 4599, 4658",14
Tuen Mun,Leung King Plaza Café de Itamomo (non-residential),19/8/2020,4598,1
Tuen Mun,Leung King Plaza Kam Tai Pan (non-residential),19/8/2020,"4412, 4599, 4628, 4658",4
Sha Tin,Mei Tin Shopping Centre (non-residential),19/8/2020,"2136, 3105, 4600",3
Sha Tin,New Town Plaza (non-residential),19/8/2020,"3415, 3571, 3910, 4600",4
Yau Tsim Mong,Newish Mansion McDonald’s (non-residential),19/8/2020,4637,1
Tai Po,Pauline Building Wah Fai Restaurant and Cake Shop (non-residential),19/8/2020,4602,1
Sha Tin,Sha Tin Fun City Fulum Fisherman's Wharf (non-residential),19/8/2020,4679,1
Yau Tsim Mong,Sino Centre (non-residential),19/8/2020,"2398, 3371, 4207, 4569, 4679",5
Central & Western,The Center (non-residential),19/8/2020,4661,1
Yuen Long,Tin Shing Shopping Centre (non-residential),19/8/2020,"4059, 4651",2
Yuen Long,Tin Yiu Plaza (non-residential),19/8/2020,"3887, 3904, 4207, 4365, 4651",5
Tuen Mun,Tuen Mun Water Treatment Works (non-residential),19/8/2020,4663,1
Tai Po,Wah Lok Building Luk Yee Kui Restaurant (non-residential),19/8/2020,4602,1
Yau Tsim Mong,Wing Fat Mansion Isaak's (non-residential),19/8/2020,4757,1
Yau Tsim Mong,111 Tung Choi Street Fung Mei Yuen Restaurant (non-residential),20/8/2020,4654,1
Central & Western,133 Des Voeux Road Central (non-residential),20/8/2020,4688,1
Yau Tsim Mong,81 Prince Edward Road West (non-residential),20/8/2020,4808,1
Wan Chai,Bowrington Road Market (non-residential),20/8/2020,"2387, 2857, 3027, 3384, 4624",5
Wan Chai,Causeway Bay Market (non-residential),20/8/2020,4719,1
Central & Western,Central Government Offices West Wing (non-residential),20/8/2020,4692,1
Eastern,Dorset House (non-residential),20/8/2020,4684,1
Yuen Long,Grandeur Terrace Tower 9 (non-residential),20/8/2020,4703,1
Kowloon City,Honour Building 萬豪漁港 (non-residential),20/8/2020,4732,1
Eastern,Java Road Market (non-residential),20/8/2020,4719,1
Eastern,Java Road Municipal Services Building (non-residential),20/8/2020,"2299, 2468, 4341, 4719",4
Yau Tsim Mong,King Wah Centre (non-residential),20/8/2020,4654,1
Kowloon City,Kowloon City Law Courts Building (non-residential),20/8/2020,"3310, 3383, 4641",3
Yau Tsim Mong,Lucky Building (non-residential),20/8/2020,4679,1
Yuen Long,MTR Tin Shui Wai Station (non-residential),20/8/2020,4651,1
Yau Tsim Mong,Pak Shing Building Café de Coral (non-residential),20/8/2020,4679,1
Yau Tsim Mong,Pakpolee Commercial Centre (non-residential),20/8/2020,4679,1
Sham Shui Po,Pei Ho Street Municipal Services Building (non-residential),20/8/2020,"1557, 1608, 1611, 1808, 1852, 1905, 1926, 1927, 2056, 2057, 2140, 2186, 2283, 2292, 2482, 2652, 3156, 3351, 3465, 3765, 3839, 4682",22
Eastern,Southern Building (non-residential),20/8/2020,4689,1
Sha Tin,Sun Chui Shopping Centre KFC (non-residential),20/8/2020,4613,1
Sha Tin,Sun Chui Shopping Centre McDonald’s (non-residential),20/8/2020,4613,1
Yuen Long,T Town (non-residential),20/8/2020,4676,1
Yau Tsim Mong,Tak Bo Building (non-residential),20/8/2020,"4569, 4637",2
Central & Western,The Center (non-residential),20/8/2020,"4661, 4713",2
Yuen Long,Tin Chak Shopping Centre Tamjai Yunnan Mixian (non-residential),20/8/2020,4703,1
Yuen Long,Tin Shui Shopping Centre (non-residential),20/8/2020,4676,1
Sai Kung,TKO Spot KFC (non-residential),20/8/2020,4763,1
Sai Kung,TKO Spot Super Super Congee & Noodle (non-residential),20/8/2020,4763,1
Kowloon City,Wearbest Building (non-residential),20/8/2020,4627,1
Yau Tsim Mong,Yau Shing Commercial Centre Café de Coral (non-residential),20/8/2020,"4573, 4637",2
Eastern,快富樓 (non-residential),20/8/2020,4743,1
Eastern,114 Shau Kei Wan Road (non-residential),21/8/2020,"4638, 4647",2
Eastern,33 Shing On Street (non-residential),21/8/2020,4688,1
Tsuen Wan,37 Ho Pui Street (non-residential),21/8/2020,4657,1
Kowloon City,67 Pak Tai Street (non-residential),21/8/2020,"4636, 4662, 4665",3
Eastern,AIA Hong Kong Tower Pret A Manger (non-residential),21/8/2020,4757,1
Tsuen Wan,Allway Gardens Shopping Centre Phase 1 (non-residential),21/8/2020,4711,1
Kwai Tsing,CHT Tower (non-residential),21/8/2020,4638,1
Kwun Tong,Entrepot Centre (non-residential),21/8/2020,4703,1
Central & Western,Hang Fai Building (non-residential),21/8/2020,4731,1
Yau Tsim Mong,Hermes House (non-residential),21/8/2020,4709,1
Central & Western,High Block Queensway Government Offices (non-residential),21/8/2020,4709,1
Kwai Tsing,Kwai Fong Industrial Building (non-residential),21/8/2020,4711,1
Tsuen Wan,Lei Muk Shue Shopping Centre (non-residential),21/8/2020,4681,1
Tuen Mun,Lin Wong Building (non-residential),21/8/2020,4657,1
Eastern,On Ming Mansion Fairwood (non-residential),21/8/2020,4672,1
Yau Tsim Mong,Parkes Street Mak's Noodle (non-residential),21/8/2020,4679,1
Yuen Long,T Town (non-residential),21/8/2020,"4568, 4676, 4692",3
Tai Po,Tai Po Mega Mall Café 2.0 (non-residential),21/8/2020,4677,1
Kwai Tsing,Tai Tak Industrial Building (non-residential),21/8/2020,4702,1
Kowloon City,To Kwa Wan Maket and Government Offices (non-residential),21/8/2020,"1498, 1620, 1716, 1754, 2265, 2296, 2322, 2338, 2496, 2896, 3031, 3183, 3669, 4636",14
Yau Tsim Mong,Wah Yuen Factory Building (non-residential),21/8/2020,"4185, 4294, 4710",3
Central & Western,Wing On Centre (non-residential),21/8/2020,4636,1
Tsuen Wan,Yeung Uk Road Municipal Services Building (non-residential),21/8/2020,"1652, 1859, 2196, 2261, 2239, 3047, 3117, 3244, 3254, 3976, 4022, 4023, 4024, 4177, 4217, 4413, 4457, 4540, 4696",19
North,17-19 Wo Fung Street (non-residential),22/8/2020,4667,1
Central & Western,54 Belchers's Street 卓記粥店 (non-residential),22/8/2020,4744,1
Yau Tsim Mong,6 Chung Wui Street (non-residential),22/8/2020,4695,1
Tsuen Wan,"Block 3, Lei Muk Shue Estate (non-residential)",22/8/2020,"4681, 4682, 4683, 4728, 4751",5
Tuen Mun,H.A.N.D.S HK Diner (non-residential),22/8/2020,4788,1
Yau Tsim Mong,K11 Art Mall (non-residential),22/8/2020,4709,1
Yau Tsim Mong,Mau Lam Commercial Building (non-residential),22/8/2020,"4693, 4694",2
Yau Tsim Mong,MTR Kowloon Station (non-residential),22/8/2020,4845,1
Tsuen Wan,On Fung Building (non-residential),22/8/2020,"4024, 4340, 4696",3
Yau Tsim Mong,Pioneer Centre Victoria Harbour Restaurant (non-residential),22/8/2020,4730,1
Wan Chai,Po Hon Building McDonald's (non-residential),22/8/2020,4695,1
Kwun Tong,Sau Mau Ping Shopping Centre (non-residential),22/8/2020,"1863, 1865, 1897, 2031, 2035, 2071, 2449, 2623, 2902, 4529, 4678",11
Yau Tsim Mong,Shing Hing Building 日昇車仔麵 (non-residential),22/8/2020,4695,1
Yuen Long,Tin Shui Shopping Centre (non-residential),22/8/2020,"4676, 4725",2
Wan Chai,Tower 535 Men Wah Bing Teng (non-residential),22/8/2020,4695,1
Yau Tsim Mong,Victoria Mall (non-residential),22/8/2020,"4491, 4679",2
Wan Chai,Wellable Commercial Building (non-residential),22/8/2020,4695,1
Kowloon City,Yick Man Building (non-residential),22/8/2020,4754,1
Central & Western,123 Belcher's Street (non-residential),23/8/2020,4713,1
Yau Tsim Mong,26 Kimberley Road Ramen Bari-Uma (non-residential),23/8/2020,4757,1
Central & Western,Admiralty Centre McDonald's (non-residential),23/8/2020,4692,1
Central & Western,Admiralty Centre Mixian Sense (non-residential),23/8/2020,4692,1
Tsuen Wan,"Block 3, Lei Muk Shue Estate (non-residential)",23/8/2020,"4681, 4682, 4683, 4728, 4751, 4784, 4837",7
Yau Tsim Mong,China Ferry Terminal (non-residential),23/8/2020,4731,1
Sham Shui Po,Hoi Lai Shopping Centre (non-residential),23/8/2020,"4685, 4701",2
Yau Tsim Mong,Kalok Building (non-residential),23/8/2020,4724,1
Eastern,Lee & Man Commercial Center (non-residential),23/8/2020,4685,1
Tuen Mun,Leung King Plaza (non-residential),23/8/2020,"2319, 2707, 3582, 4286, 4309, 4339, 4374, 4412, 4430, 4431, 4467, 4587, 4599, 4658, 4729",15
Yau Tsim Mong,Mong Kok Market (non-residential),23/8/2020,"2195, 3052, 3972, 4700",4
Tsuen Wan,Smartland Lucky Dragon Palace Royal Cantonese Cuisine (non-residential),23/8/2020,4778,1
Yuen Long,Tin Chak Shopping Centre (non-residential),23/8/2020,"4456, 4496, 4704",3
Yuen Long,Tin Yan Shopping Centre (non-residential),23/8/2020,"3587, 3772, 4704",3
Sha Tin,Wai Wah Centre (non-residential),23/8/2020,4728,1
Sha Tin,Wai Wah Centre 雲桂香米線專門店 (non-residential),23/8/2020,4728,1
Tsuen Wan,Yeung Uk Road Municipal Services Building (non-residential),23/8/2020,"1652, 1859, 2196, 2261, 2239, 3047, 3117, 3244, 3254, 3976, 4022, 4023, 4024, 4177, 4217, 4413, 4457, 4540, 4696, 4778",20
Central & Western,54 Belchers's Street 卓記粥店 (non-residential),24/8/2020,4744,1
Kowloon City,61 Mei King Street 海南廚房 (non-residential),24/8/2020,4708,1
Kowloon City,70 Lok Shan Road (non-residential),24/8/2020,4708,1
Tsuen Wan,73 Yuen Tun Circuit (non-residential),24/8/2020,4696,1
Kowloon City,76 Lok Shan Road (non-residential),24/8/2020,4708,1
Tuen Mun,Block 2 Glorious Garden (non-residential),24/8/2020,4729,1
Yau Tsim Mong,Champion Building (non-residential),24/8/2020,4757,1
Tuen Mun,Glorious Garden Block 2 (non-residential),24/8/2020,4729,1
Tsuen Wan,Heung Che Street Market (non-residential),24/8/2020,"4696, 4727",2
Sham Shui Po,Hung Yu Mansion (non-residential),24/8/2020,4840,1
Kowloon City,Ka Wai Plaza (non-residential),24/8/2020,4693,1
Tuen Mun,Leung King Plaza Kai Kee Restaurant (non-residential),24/8/2020,4729,1
Tuen Mun,Leung King Plaza Kam Tai Pan (non-residential),24/8/2020,"4412, 4599, 4628, 4658, 4729",5
Kwun Tong,Lotus Tower 3 Kwun Tong Garden Estate Super Super Congee & Noodle (non-residential),24/8/2020,4771,1
Central & Western,"MTR Hong Kong Station Tim Ho Wan, the Dim-Sum Specialists (non-residential)",24/8/2020,4764,1
Yau Tsim Mong,Silver Commercial Building (non-residential),24/8/2020,4730,1
Yau Tsim Mong,The Forest (non-residential),24/8/2020,"4604, 4700, 4785",3
Wan Chai,The Hong Kong Cricket Club (non-residential),24/8/2020,4801,1
Tuen Mun,Tin King Estate Tin Tsui House (non-residential),24/8/2020,4729,1
Kowloon City,Tung Hing Building 金苑粉麵 (non-residential),24/8/2020,4708,1
Tsuen Wan,Union Building (non-residential),24/8/2020,4727,1
Yau Tsim Mong,Victoria Mall (non-residential),24/8/2020,"4491, 4679, 4764",3
Yuen Long,YOHO Mall II (non-residential),24/8/2020,4818,1
Kowloon City,27 Lion Rock Road Saigon Pho (non-residential),25/8/2020,4741,1
Yau Tsim Mong,Chung Wo Building 牧牛冰室 (non-residential),25/8/2020,4756,1
Sha Tin,Fu Fai Garden Shopping Arcade (non-residential),25/8/2020,4756,1
Yau Tsim Mong,Hang Shing Building (non-residential),25/8/2020,4833,1
Kowloon City,Kowloon West Regional Police Headquarters (non-residential),25/8/2020,4756,1
Kowloon City,Man Sang Commercial Building (non-residential),25/8/2020,"4741, 4767",2
Yuen Long,CCC Kei Yuen College (non-residential),26/8/2020,4818,1
Wan Chai,Hopewell Centre (non-residential),26/8/2020,"4799, 4811",2
Kwun Tong,Lower Ngau Tau Kok Estate Plaza (non-residential),26/8/2020,"4776, 4785",2
Yuen Long,Manhattan Plaza (non-residential),26/8/2020,4791,1
Sha Tin,MOSTown Street (Phase 3) Kitchen One Roast Goose (non-residential),26/8/2020,4756,1
Sham Shui Po,Pei Ho Street Municipal Services Building Cooked Food Centre (non-residential),26/8/2020,"1435, 1558, 1980, 1997, 2234, 4309, 4746",7
